direction,macro_f1,accuracy,advanced_macro_f1,static_macro_f1,delta_vs_advanced,delta_vs_static,changes_vs_advanced
A_to_B,0.7220995651039799,0.7166456670866582,0.7087287637290434,0.7213146091318968,0.013370801374936514,0.0007849559720830568,640
B_to_A,0.7181706460482183,0.7226770070371966,0.7136336390240811,0.7217174620428055,0.004537007024137285,-0.0035468159945871713,735
