name,macro_f1,accuracy,delta_vs_advanced
advanced_B,0.7087287637290434,0.7060058798824024,0.0
transformer_B,0.6909069499794646,0.7009659806803864,-0.017821813749578808
extratrees_structural_A_to_B,0.3178064693795316,0.3379532409351813,-0.39092229434951176
