level,n_states,coverage_support_ge_min,median_support,expected_macro_f1_argmax,expected_macro_f1_bias,empirical_macro_f1_argmax,empirical_macro_f1_bias,empirical_accuracy_bias
S1,62442,0.08647142857142857,1.0,0.10402525609218978,0.11084945307606732,0.12705222278804926,0.13549236337078724,0.21677142857142856
S2,67838,0.019457142857142857,1.0,0.10308152782213063,0.10973848732158209,0.12755084226849897,0.1357770019502282,0.2168142857142857
S3,68014,0.018728571428571428,1.0,0.10304325662876868,0.10969941897573159,0.12755084226849897,0.1357770019502282,0.2168142857142857
S4,69150,0.008085714285714286,1.0,0.10248906022440477,0.10910635284310166,0.12772974123105546,0.13586994961638754,0.21685714285714286
S5,69526,0.004028571428571428,1.0,0.10239579916186625,0.10901107489338484,0.12772974123105546,0.13586994961638754,0.21685714285714286
