label,precision,recall,f1,support
0,0.6481876332622601,0.03284001296316301,0.06251285214887929,9257
1,0.697286012526096,0.03369652945924132,0.06428640169377346,9912
2,0.407673860911271,0.03927003927003927,0.07163927517909818,4329
3,0.5148809523809523,0.032740348221044664,0.061565836298932385,5284
4,0.17072488105233696,0.9829021573717662,0.29091872557461745,11171
5,1.0,0.056043214044564485,0.10613810741687979,1481
6,0.4619718309859155,0.03400373211693966,0.06334492081884897,4823
7,0.7331378299120235,0.04932912391475927,0.09243852837862822,5068
8,0.6784313725490196,0.03793027844770883,0.071843853820598,4561
9,0.48598130841121495,0.04555409548839247,0.08329995995194234,2283
10,0.6738544474393531,0.09255831173639392,0.16276041666666666,2701
11,0.6349809885931559,0.06233669279581933,0.11352821210061183,2679
12,0.4840764331210191,0.05970149253731343,0.1062937062937063,1273
13,1.0,0.3758207802240247,0.5463222908478383,5178
