min_count,alpha_prior,macro_f1,accuracy,delta_vs_transformer,changes_vs_transformer
3,0.03,0.6891462708341666,0.7036013044094711,-0.0006403097314919837,45
3,0.05,0.689772310660582,0.7041684389621438,-1.4269905076580436e-05,77
3,0.08,0.6899738944487469,0.7038848716858075,0.00018731388308834696,132
3,0.1,0.690038201552655,0.7038848716858075,0.0002516209869964925,170
3,0.2,0.6895040054770651,0.703459520771303,-0.0002825750885934175,302
3,0.3,0.6887069935023385,0.7031050616758826,-0.0010795870633200089,409
5,0.03,0.6891264079780892,0.7036013044094711,-0.0006601725875693409,47
5,0.05,0.6897119109110331,0.7040975471430597,-7.466965462543662e-05,78
5,0.08,0.6899538638191819,0.7038848716858075,0.0001672832535233315,131
5,0.1,0.6900901625092445,0.7039557635048915,0.0003035819435859288,170
5,0.2,0.6896220700419379,0.7036013044094711,-0.00016451052372068453,300
5,0.3,0.6888827008989755,0.7032468453140508,-0.0009038796666830384,410
10,0.03,0.6893157400819548,0.7037430880476393,-0.0004708404837037161,50
10,0.05,0.6895220621611983,0.7040975471430597,-0.00026451840446028996,87
10,0.08,0.6898135996319349,0.7040975471430597,2.701906627633477e-05,135
10,0.1,0.6899360412413478,0.704381114419396,0.00014946067568921695,168
10,0.2,0.6898883103838681,0.7039557635048915,0.00010172981820955052,297
10,0.3,0.6895978706624509,0.7040266553239756,-0.00018870990320762893,399
20,0.03,0.6895382878441484,0.7038139798667233,-0.00024829272151016823,51
20,0.05,0.6896842809289975,0.7040266553239756,-0.0001022996366610851,86
20,0.08,0.6901250352928872,0.704310222600312,0.0003384547272285987,130
20,0.1,0.6902286548430511,0.7045937898766482,0.00044207427739251237,164
20,0.2,0.6901653750255392,0.7040975471430597,0.0003787944598806492,287
20,0.3,0.68976559105596,0.7038848716858075,-2.0989509698532416e-05,384
