bucket,n,top_action,purity,p_ask_user,rel_ask_user,p_plan_task,rel_plan_task,p_web_search,rel_web_search,p_respond_only,rel_respond_only,max_shift_action,max_rel_shift,max_abs_shift
l,1940,plan_task,0.39690721649484534,0.3752577319587629,0.6437150043702791,0.39690721649484534,0.7528216791155339,0.16597938144329896,0.5425782104129379,0.061855670103092786,-0.8586685142932231,respond_only,-0.8586685142932231,-0.37580809458290165
m,6512,respond_only,0.3012899262899263,0.28593366093366096,0.2524550694210081,0.2756449631449631,0.21730330681898422,0.13713144963144963,0.27447146943415596,0.3012899262899263,-0.31159499460484397,respond_only,-0.31159499460484397,-0.13637383839606815
s,3379,respond_only,0.9162474104764723,0.0328499556081681,-0.8561096539058731,0.033737792246226694,-0.8510071593635282,0.01716484166913288,-0.840473494275325,0.9162474104764723,1.0934961593949677,respond_only,1.0934961593949677,0.47858364579047785
