fold,run_name,serializer,max_len,best_epoch,best_macro_f1,best_nll,epoch5_macro_f1,epoch4_to_5_delta_f1,epoch4_to_5_delta_nll,nll_still_decreasing,lr_schedule_ok,notes
0,mdeberta384_v2_384_5e,v2,384,5,0.7178007033832078,0.6816872858381012,0.7178007033832078,0.0005217705146740581,-0.00018358099271864603,True,True,near_plateau
1,mdeberta384_v2_384_5e,v2,384,5,0.7165467800122037,0.6910967174943438,0.7165467800122037,0.0010546560267701288,-0.0028983406006346524,True,True,nll_still_decreasing
2,mdeberta384_v2_384_5e,v2,384,4,0.715503115122089,0.6944319700621873,0.716333054407148,0.0008299392850590337,0.0005621430209886702,False,True,near_plateau
3,mdeberta384_v2_384_5e,v2,384,5,0.7262536128445946,0.6749592367933381,0.7262536128445946,0.013106183287588724,-0.004542236863771754,True,True,f1_still_rising;nll_still_decreasing
4,mdeberta384_v2_384_5e,v2,384,5,0.7140505546382256,0.7037918233871296,0.7140505546382256,0.0023590636714551083,-0.008880500820650505,True,True,f1_still_rising;nll_still_decreasing
