direction,macro_f1,accuracy,advanced_macro_f1,static_macro_f1,delta_vs_advanced,delta_vs_static,changes_vs_advanced,selector_precision,selector_recall
A_to_B,0.7025748761443642,0.7061458770824584,0.7087287637290434,0.7213146091318968,-0.006153887584679163,-0.01873973298753262,1160,0.3905172413793103,0.9847826086956522
B_to_A,0.700250070557199,0.713772799080856,0.7136336390240811,0.7217174620428055,-0.013383568466882045,-0.021467391485606502,1046,0.381453154875717,0.9755501222493888
